a        | 啊  | Particle                       → Oh                             (O)
gu       | 姑  | Aunt                           → Yigu                           (Y)
gu       | 顾  | Consider                       → Worry                          (W)
gu       | 骨  | Bone                           → Key                            (K)
gu       | 沽  | Buy                            → Xianshuigu                     (X)
gu       | 谷  | Valley                         → 红河谷                            (红)
gu       | 固  | Firm                           → Xigu                           (X)
gu       | 菇  | Fungus                         → Xiaojidunmogu                  (X)
gu       | 估  | Guess                          → Rough                          (R)
gu       | 鹄  | Swan                           → Will                           (W)
gu       | 鸪  | Partridge                      → Zhegutian                      (Z)
guan     | 关  | Close                          → No                             (N)
guan     | 贯  | Consistent                     → Luo                            (L)
guan     | 罐  | Can                            → Fruit                          (F)
